здесь	zʲ dʲ e sʲ
взволнованно	v z̪ v ɐ ɫ n̪ o v ə n̪ː ə
взволнован	v z̪ v ɐ ɫ n̪ o v ə n̪
взволнованное	v z̪ v ɐ ɫ n̪ o v ə n̪ː ə j ə
взволнованный	v z̪ v ɐ ɫ n̪ o v ə n̪ː ɨ j
взволнованными	v z̪ v ɐ ɫ n̪ o v ə n̪ː ɨ mʲ ɪ
взволнованы	v z̪ v ɐ ɫ n̪ o v ə n̪ ɨ
взволнованную	v z̪ v ɐ ɫ n̪ o v ə n̪ː ʊ j ʊ
взволнованную	v z̪ v ə ɫ n̪ ɐ v a n̪ː ʊ j ʊ
взвёл	v z̪ vʲ ɵ ɫ
взволнует	v z̪ v ɐ ɫ n̪ u j ɪ t̪
взгляд	v z̪ ɟ ʎ a t̪
взвыл	v z̪ v ɨ ɫ
взглядами	v z̪ ɟ ʎ a d̪ ə mʲ ɪ
взгляда	v z̪ ɟ ʎ a d̪ ə
взглядов	v z̪ ɟ ʎ a d̪ ə f
взглядах	v z̪ ɟ ʎ a d̪ ə x
взгляде	v z̪ ɟ ʎ æ dʲ e
взгляду	v z̪ ɟ ʎ a d̪ ʊ
взглядом	v z̪ ɟ ʎ a d̪ ə m
взглядывает	v z̪ ɟ ʎ a d̪ ɨ v ə j ɪ t̪
взгляды	v z̪ ɟ ʎ a d̪ ɨ
взглядывали	v z̪ ɟ ʎ a d̪ ɨ v ə ʎ ɪ
взглядывала	v z̪ ɟ ʎ a d̪ ɨ v ə ɫ ə
взглядывая	v z̪ ɟ ʎ a d̪ ɨ v ə j ə
взгляни	v z̪ ɟ ʎ ɪ ɲ i
взглянет	v z̪ ɟ ʎ æ ɲ ɪ t̪
взгляну	v z̪ ɟ ʎ ɪ n̪ u
взгляните	v z̪ ɟ ʎ ɪ ɲ i tʲ e
взглянув	v z̪ ɟ ʎ ɪ n̪ u f
взглянула	v z̪ ɟ ʎ ɪ n̪ u ɫ ə
взглянул	v z̪ ɟ ʎ ɪ n̪ u ɫ
взглянули	v z̪ ɟ ʎ ɪ n̪ u ʎ ɪ
вздернута	v zʲ dʲ ɪ r n̪ ʊ t̪ ə
взглянуть	v z̪ ɟ ʎ ɪ n̪ u tʲ
вздор	v z̪ d̪ o r
вздорные	v z̪ d̪ o r n̪ ɨ j e
вздорожают	v z̪ d̪ ə r ɐ ʐ a j ʊ t̪
вздох	v z̪ d̪ o x
вздоха	v z̪ d̪ o x ə
вздохам	v z̪ d̪ o x ə m
вздором	v z̪ d̪ o r ə m
вздохи	v z̪ d̪ o ç ɪ
вздохами	v z̪ d̪ o x ə mʲ ɪ
вздохнет	v z̪ d̪ o x ɲ ɪ t̪
вздохнет	v z̪ d̪ ɐ x ɲ ɪ t̪
вздохнув	v z̪ d̪ ɐ x n̪ u f
вздохнул	v z̪ d̪ ɐ x n̪ u ɫ
вздохнула	v z̪ d̪ ɐ x n̪ u ɫ ə
вздохнуть	v z̪ d̪ ɐ x n̪ u tʲ
вздохов	v z̪ d̪ o x ə f
вздохнут	v z̪ d̪ ɐ x n̪ u t̪
вздохом	v z̪ d̪ o x ə m
вздрагивал	v z̪ d̪ r a ɟ ɪ v ə ɫ
вздрагиваете	v z̪ d̪ r a ɟ ɪ v ə j ɪ tʲ e
вздрагивали	v z̪ d̪ r a ɟ ɪ v ə ʎ ɪ
вздрагивала	v z̪ d̪ r a ɟ ɪ v ə ɫ ə
вздрагивать	v z̪ d̪ r a ɟ ɪ v ə tʲ
вздрагивают	v z̪ d̪ r a ɟ ɪ v ə j ʊ t̪
вздрагивающее	v z̪ d̪ r a ɟ ɪ v ə j ʉ ɕː ɪ j e
вздрагивающих	v z̪ d̪ r a ɟ ɪ v ə j ʉ ɕː ɪ x
вздрагивая	v z̪ d̪ r a ɟ ɪ v ə j ə
вздремнула	v z̪ d̪ rʲ ɪ m n̪ u ɫ ə
вздремнет	v z̪ d̪ rʲ ɪ m ɲ ɪ t̪
вздрогнет	v z̪ d̪ r o ɟ ɲ ɪ t̪
вздрогнув	v z̪ d̪ r o ɡ n̪ ʊ f
вздрогнешь	v z̪ d̪ r o ɟ ɲ ɪ ʂ
вздрогнули	v z̪ d̪ r o ɡ n̪ ʊ ʎ ɪ
вздрогнул	v z̪ d̪ r o ɡ n̪ ʊ ɫ
вздрогнула	v z̪ d̪ r o ɡ n̪ ʊ ɫ ə
вздрогнуть	v z̪ d̪ r o ɡ n̪ ʊ tʲ
вздули	v z̪ d̪ u ʎ ɪ
вздулись	v z̪ d̪ u ʎ ɪ sʲ
вздумавший	v z̪ d̪ u m ə f ʂ ɨ j
вздумавшего	v z̪ d̪ u m ə f ʂ ɨ v ə
вздумает	v z̪ d̪ u m ə j ɪ t̪
вздумается	v z̪ d̪ u m ə j ɪ t̪ s̪ ə
вздумал	v z̪ d̪ u m ə ɫ
вздумали	v z̪ d̪ u m ə ʎ ɪ
вздумала	v z̪ d̪ u m ə ɫ ə
вздумалось	v z̪ d̪ u m ə ɫ ə sʲ
вздуматься	v z̪ d̪ u m ə t̪ s̪ ə
вздымались	v z̪ d̪ ɨ m a ʎ ɪ sʲ
вздымавшейся	v z̪ d̪ ɨ m a f ʂ ɨ j sʲ ə
вздыбленными	v z̪ d̪ ɨ b ʎ ɪ n̪ː ɨ mʲ ɪ
вздыхаешь	v z̪ d̪ ɨ x a j ɪ ʂ
вздыхал	v z̪ d̪ ɨ x a ɫ
вздыхает	v z̪ d̪ ɨ x a j ɪ t̪
вздыхала	v z̪ d̪ ɨ x a ɫ ə
вздыхают	v z̪ d̪ ɨ x a j ʊ t̪
вздыхая	v z̪ d̪ ɨ x a j ə
вздыхать	v z̪ d̪ ɨ x a tʲ
взирала	v zʲ ɪ r a ɫ ə
взлетал	v zʲ ʎ ɪ t̪ a ɫ
взирающего	v zʲ ɪ r a j ʉ ɕː ɪ v ə
взлетали	v zʲ ʎ ɪ t̪ a ʎ ɪ
взломал	v z̪ ɫ ɐ m a ɫ
взломом	v z̪ ɫ o m ə m
взломать	v z̪ ɫ ɐ m a tʲ
взлохмаченный	v z̪ ɫ ɐ x m a tɕ ɪ n̪ː ɨ j
взмах	v z̪ m a x
взмахе	v z̪ m a ç e
взмахнет	v z̪ m ɐ x ɲ ɪ t̪
взметнулся	v z̪ mʲ ɪ t̪ n̪ u ɫ sʲ ə
взмахнул	v z̪ m ɐ x n̪ u ɫ
взмолилась	v z̪ m ɐ ʎ i ɫ ə sʲ
взмокшей	v z̪ m o k ʂ ɨ j
взмолился	v z̪ m ɐ ʎ i ɫ sʲ ə
взмывал	v z̪ m ɨ v a ɫ
взмытую	v z̪ m ɨ t̪ ʊ j ʊ
взобьет	v z̪ ɐ bʲ j ɪ t̪
взобраться	v z̪ ɐ b r a t̪ s̪ː ə
взнос	v z̪ n̪ o s̪
взойдет	v z̪ ɐ j dʲ ɪ t̪
взойдя	v z̪ ɐ j dʲ a
взойти	v z̪ ɐ j tʲ i
взорам	v z̪ o r ə m
взор	v z̪ o r
взопревшем	v z̪ ɐ p rʲ e f ʂ ɨ m
взорвался	v z̪ ɐ r v a ɫ sʲ ə
взорвался	v z̪ ə r v ɐ ɫ sʲ a
взорванное	v z̪ o r v ə n̪ː ə j ə
взорванное	v z̪ ɐ r v ə n̪ː ə j ə
взорваны	v z̪ ɐ r v a n̪ ɨ
взорву	v z̪ ɐ r v u
взором	v z̪ o r ə m
взорвётся	v z̪ ɐ r vʲ ɵ t̪ s̪ː ə
взорвут	v z̪ ɐ r v u t̪
взоры	v z̪ o r ɨ
взошло	v z̪ ɐ ʂ ɫ o
взревел	v z̪ rʲ ɪ vʲ e ɫ
взошла	v z̪ ɐ ʂ ɫ a
взрослого	v z̪ r o s̪ ɫ ə v ə
взрослой	v z̪ r o s̪ ɫ ə j
взрослый	v z̪ r o s̪ ɫ ɨ j
взрослые	v z̪ r o s̪ ɫ ɨ j e
взрослыми	v z̪ r o s̪ ɫ ɨ mʲ ɪ
взрыв	v z̪ r ɨ f
взрывают	v z̪ r ɨ v a j ʊ t̪
взрослых	v z̪ r o s̪ ɫ ɨ x
взрывной	v z̪ r ɨ v n̪ o j
взрыва	v z̪ r ɨ v ə
взрывов	v z̪ r ɨ v ə f
взрывы	v z̪ r ɨ v ɨ
взъелась	v z̪ j e ɫ ə sʲ
взъерошенными	v z̪ j ɪ r o ʂ ɨ n̪ː ɨ mʲ ɪ
взъерошенный	v z̪ j ɪ r o ʂ ɨ n̪ː ɨ j
взывал	v z̪ ɨ v a ɫ
взывала	v z̪ ɨ v a ɫ ə
взысканиях	v z̪ ɨ s̪ k a ɲ ɪ j ə x
взысканию	v z̪ ɨ s̪ k a ɲ ɪ j ʊ
взыскания	v z̪ ɨ s̪ k a ɲ ɪ j ə
взыскательнее	v z̪ ɨ s̪ k a tʲ ɪ ʎ ɲ ɪ j e
взыскательна	v z̪ ɨ s̪ k a tʲ ɪ ʎ n̪ ə
взыскательному	v z̪ ɨ s̪ k a tʲ ɪ ʎ n̪ ə m ʊ
взыскать	v z̪ ɨ s̪ k a tʲ
взяв	v zʲ a f
взыщите	v z̪ ɨ ɕː i tʲ e
взявшего	v zʲ a f ʂ ɨ v ə
взявшийся	v zʲ a f ʂ ɨ j sʲ ə
взявши	v zʲ a f ʂ ɨ
взявшись	v zʲ a f ʂ ɨ sʲ
взявшую	v zʲ a f ʂ u j ʊ
взял	v zʲ a ɫ
взял	v zʲ ɪ ɫ
взялась	v zʲ a ɫ ə sʲ
взялась	v zʲ ɪ ɫ a sʲ
взялась	v zʲ ɪ ɫ ə sʲ
взяла	v zʲ a ɫ ə
взяла	v zʲ ɪ ɫ a
взяло	v zʲ a ɫ ə
взяло	v zʲ ɪ ɫ o
взяли	v zʲ æ ʎ ɪ
взялись	v zʲ æ ʎ ɪ sʲ
взялись	v zʲ ɪ ʎ i sʲ
взялось	v zʲ a ɫ ə sʲ
взялось	v zʲ ɪ ɫ o sʲ
взялся	v zʲ a ɫ sʲ ə
взялся	v zʲ ɪ ɫ sʲ a
взялся	v zʲ ɪ ɫ sʲ ə
взятия	v zʲ æ tʲ ɪ j ə
взятие	v zʲ æ tʲ ɪ j e
взятку	v zʲ a t̪ k ʊ
взятки	v zʲ a t̪ c ɪ
взяток	v zʲ a t̪ ə k
взяточника	v zʲ a t̪ ə tɕ ɲ ɪ k ə
взяточник	v zʲ a t̪ ə tɕ ɲ ɪ k
взяточников	v zʲ a t̪ ə tɕ ɲ ɪ k ə f
взятую	v zʲ a t̪ ʊ j ʊ
взятою	v zʲ a t̪ ə j ʊ
взяточничество	v zʲ a t̪ ə tɕ ɲ ɪ tɕ ɪ s̪ t̪ v ə
взяты	v zʲ a t̪ ɨ
взять	v zʲ æ tʲ
взяться	v zʲ a t̪ s̪ː ə
ви	vʲ i
ви	vʲ ɪ
взятые	v zʲ a t̪ ɨ j e
вид	vʲ i t̪
видавший	vʲ ɪ d̪ a f ʂ ɨ j
вида	vʲ i d̪ ə
видал	vʲ ɪ d̪ a ɫ
видалась	vʲ ɪ d̪ a ɫ ə sʲ
видала	vʲ ɪ d̪ a ɫ ə
видали	vʲ ɪ d̪ a ʎ ɪ
виданная	vʲ i d̪ ə n̪ː ə j ə
виданная	vʲ ɪ d̪ ə n̪ː ə j ə
видались	vʲ ɪ d̪ a ʎ ɪ sʲ
виданное	vʲ i d̪ ə n̪ː ə j ə
виданное	vʲ ɪ d̪ ə n̪ː ə j ə
видано	vʲ ɪ d̪ ɐ n̪ o
видаться	vʲ ɪ d̪ a t̪ s̪ː ə
видах	vʲ i d̪ ə x
виде	vʲ i dʲ e
видать	vʲ ɪ d̪ a tʲ
видевший	vʲ i dʲ ɪ f ʂ ɨ j
видел	vʲ i dʲ ɪ ɫ
видела	vʲ i dʲ ɪ ɫ ə
виделась	vʲ i dʲ ɪ ɫ ə sʲ
видело	vʲ i dʲ ɪ ɫ ə
виделись	vʲ i dʲ ɪ ʎ ɪ sʲ
видели	vʲ i dʲ ɪ ʎ ɪ
виден	vʲ i dʲ ɪ n̪
видений	vʲ i dʲ ɪ ɲ ɪ j
видений	vʲ ɪ dʲ e ɲ ɪ j
видения	vʲ i dʲ ɪ ɲ ɪ j ə
видения	vʲ ɪ dʲ e ɲ ɪ j ə
видение	vʲ i dʲ ɪ ɲ ɪ j e
видение	vʲ ɪ dʲ e ɲ ɪ j e
видениями	vʲ i dʲ ɪ ɲ ɪ j ə mʲ ɪ
видениями	vʲ ɪ dʲ e ɲ ɪ j ə mʲ ɪ
видениям	vʲ i dʲ ɪ ɲ ɪ j ə m
видениям	vʲ ɪ dʲ e ɲ ɪ j ə m
виденною	vʲ i dʲ ɪ n̪ː ə j ʊ
виденное	vʲ i dʲ ɪ n̪ː ə j ə
виденный	vʲ i dʲ ɪ n̪ː ɨ j
видеться	vʲ i dʲ ɪ t̪ s̪ ə
видеть	vʲ i dʲ ɪ tʲ
виденье	vʲ i dʲ ɪ ɲ j e
видим	vʲ i dʲ ɪ m
видимой	vʲ i dʲ ɪ m ə j
видимо	vʲ i dʲ ɪ m ə
видимся	vʲ i dʲ ɪ m sʲ ə
видимыми	vʲ ɪ dʲ i m ɨ mʲ ɪ
видимый	vʲ i dʲ ɪ m ɨ j
видимый	vʲ ɪ dʲ i m ɨ j
видит	vʲ i dʲ ɪ t̪
видимых	vʲ ɪ dʲ i m ɨ x
видится	vʲ i dʲ ɪ t̪ s̪ ə
видите	vʲ i dʲ ɪ tʲ e
видиши	vʲ i dʲ ɪ ʂ ɨ
видиши	vʲ ɪ dʲ i ʂ ɨ
видишь	vʲ i dʲ ɪ ʂ
видишься	vʲ i dʲ ɪ ʂ sʲ ə
видна	vʲ i d̪ n̪ ə
видна	vʲ ɪ d̪ n̪ a
виднелась	vʲ ɪ dʲ ɲ e ɫ ə sʲ
видно	vʲ i d̪ n̪ ə
видны	vʲ i d̪ n̪ ɨ
видны	vʲ ɪ d̪ n̪ ɨ
видным	vʲ i d̪ n̪ ɨ m
видным	vʲ ɪ d̪ n̪ ɨ m
виднелись	vʲ ɪ dʲ ɲ e ʎ ɪ sʲ
видов	vʲ i d̪ ə f
видоизменения	vʲ ɪ d̪ ə ɪ z̪ mʲ ɪ ɲ e ɲ ɪ j ə
видоизменяющаяся	vʲ ɪ d̪ ə ɪ z̪ mʲ ɪ ɲ æ j ʉ ɕː ɪ j ə t̪ s̪ ə
видом	vʲ i d̪ ə m
виды	vʲ i d̪ ɨ
виду	vʲ i d̪ ʊ
виду	vʲ ɪ d̪ u
видывал	vʲ i d̪ ɨ v ə ɫ
видя	vʲ i dʲ ə
видятся	vʲ i dʲ ə t̪ s̪ ə
видят	vʲ i dʲ ə t̪
вижу	vʲ i ʐ ʊ
виз	vʲ i s̪
вижусь	vʲ i ʐ ʊ sʲ
визами	vʲ i z̪ ə mʲ ɪ
виза	vʲ i z̪ ə
визгом	vʲ i z̪ ɡ ə m
византийских	vʲ ɪ z̪ ɐ ɲ tʲ i j s̪ c ɪ x
визе	vʲ i zʲ e
визг	vʲ i s̪ k
визг	vʲ i z̪ ɡ ə
визжа	vʲ ɪ ʐː a
визжа	vʲ ɪ ʑː a
визжавшую	vʲ ɪ ʐː a f ʂ u j ʊ
визжавшую	vʲ ɪ ʑː a f ʂ u j ʊ
визжала	vʲ ɪ ʐː a ɫ ə
визжала	vʲ ɪ ʑː a ɫ ə
визжал	vʲ ɪ ʐː a ɫ
визжал	vʲ ɪ ʑː a ɫ
визжит	vʲ ɪ ʐː ɨ t̪
визжит	vʲ ɪ ʑː i t̪
визита	vʲ ɪ zʲ i t̪ ə
визит	vʲ ɪ zʲ i t̪
визитами	vʲ ɪ zʲ i t̪ ə mʲ ɪ
визите	vʲ ɪ zʲ i tʲ e
визите	vʲ ɪ zʲ ɪ tʲ e
визитную	vʲ ɪ zʲ i t̪ n̪ ʊ j ʊ
визитная	vʲ ɪ zʲ i t̪ n̪ ə j ə
визитныхто	vʲ ɪ zʲ i t̪ n̪ ɨ x t̪ o
визитов	vʲ ɪ zʲ i t̪ ə f
визитом	vʲ ɪ zʲ i t̪ ə m
визовой	vʲ ɪ z̪ ɐ v o j
визу	vʲ i z̪ ʊ
визу	vʲ ɪ z̪ ʊ
вилами	vʲ i ɫ ə mʲ ɪ
визы	vʲ i z̪ ɨ
визой	vʲ i z̪ ə j
виланда	vʲ ɪ ɫ a n̪ d̪ ə
вилке	vʲ i ɫ c e
вилке	vʲ ɪ ɫ c e
вились	vʲ i ʎ ɪ sʲ
вились	vʲ ɪ ʎ ɪ sʲ
вилку	vʲ i ɫ k ʊ
вилку	vʲ ɪ ɫ k u
вилки	vʲ i ɫ c ɪ
вилки	vʲ ɪ ɫ c i
вилой	vʲ i ɫ ə j
вилой	vʲ ɪ ɫ o j
виллу	vʲ i ɫː ʊ
вилок	vʲ i ɫ ə k
вилок	vʲ ɪ ɫ o k
вился	vʲ i ɫ sʲ ə
вился	vʲ ɪ ɫ sʲ a
вился	vʲ ɪ ɫ sʲ ə
вильсон	vʲ ɪ ʎ s̪ o n̪
вин	vʲ i n̪
вин	vʲ ɪ n̪
виляя	vʲ ɪ ʎ æ j ə
вина	vʲ i n̪ ə
вина	vʲ ɪ n̪ a
вини	vʲ ɪ ɲ i
вине	vʲ i ɲ e
вине	vʲ ɪ ɲ e
винах	vʲ i n̪ ə x
винить	vʲ ɪ ɲ i tʲ
винным	vʲ i n̪ː ɨ m
винные	vʲ i n̪ː ɨ j e
винный	vʲ i n̪ː ɨ j
винных	vʲ i n̪ː ɨ x
виноват	vʲ ɪ n̪ ɐ v a t̪
вино	vʲ ɪ n̪ o
виновата	vʲ ɪ n̪ ɐ v a t̪ ə
виновато	vʲ ɪ n̪ ɐ v a t̪ ə
виноватого	vʲ ɪ n̪ ɐ v a t̪ ə v ə
виноватее	vʲ ɪ n̪ ɐ v a tʲ ɪ j e
виноватее	vʲ ɪ n̪ ɐ v a t̪ ɛ j e
виноватее	vʲ ɪ n̪ ɐ v a t̪ ɨ j e
виноватый	vʲ ɪ n̪ ɐ v a t̪ ɨ j
виноватым	vʲ ɪ n̪ ɐ v a t̪ ɨ m
виноваты	vʲ ɪ n̪ ɐ v a t̪ ɨ
виноватыми	vʲ ɪ n̪ ɐ v a t̪ ɨ mʲ ɪ
виновником	vʲ ɪ n̪ o v ɲ ɪ k ə m
виновниками	vʲ ɪ n̪ o v ɲ ɪ k ə mʲ ɪ
виновница	vʲ ɪ n̪ o v ɲ ɪ t̪s̪ ə
виновными	vʲ ɪ n̪ o v n̪ ɨ mʲ ɪ
виноград	vʲ ɪ n̪ ɐ ɡ r a t̪
виноградная	vʲ ɪ n̪ ɐ ɡ r a d̪ n̪ ə j ə
винограда	vʲ ɪ n̪ ɐ ɡ r a d̪ ə
виноградник	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ k
виноградника	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ k ə
виноградникам	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ k ə m
виноградниками	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ k ə mʲ ɪ
виноградники	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ c ɪ
винограднике	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ c e
виноградников	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ k ə f
виноградного	vʲ ɪ n̪ ɐ ɡ r a d̪ n̪ ə v ə
виноградные	vʲ ɪ n̪ ɐ ɡ r a d̪ n̪ ɨ j e
виноградный	vʲ ɪ n̪ ɐ ɡ r a d̪ n̪ ɨ j
виноделием	vʲ ɪ n̪ ɐ dʲ e ʎ ɪ j ɪ m
виноградником	vʲ ɪ n̪ ɐ ɡ r a dʲ ɲ ɪ k ə m
виноградом	vʲ ɪ n̪ ɐ ɡ r a d̪ ə m
виноделы	vʲ ɪ n̪ ɐ dʲ e ɫ ɨ
вином	vʲ i n̪ ə m
вином	vʲ ɪ n̪ o m
винт	vʲ i n̪ t̪
винт	vʲ ɪ n̪ t̪
винте	vʲ ɪ ɲ tʲ e
винтовками	vʲ ɪ n̪ t̪ o f k ə mʲ ɪ
винтовкам	vʲ ɪ n̪ t̪ o f k ə m
винтовки	vʲ ɪ n̪ t̪ o f c ɪ
винтовкой	vʲ ɪ n̪ t̪ o f k ə j
винтовку	vʲ ɪ n̪ t̪ o f k ʊ
винтовочные	vʲ ɪ n̪ t̪ o v ə tɕ n̪ ɨ j e
винтовок	vʲ ɪ n̪ t̪ o v ə k
винтовочная	vʲ ɪ n̪ t̪ o v ə tɕ n̪ ə j ə
винтовочный	vʲ ɪ n̪ t̪ o v ə tɕ n̪ ɨ j
винтовочных	vʲ ɪ n̪ t̪ o v ə tɕ n̪ ɨ x
вину	vʲ i n̪ ʊ
вину	vʲ ɪ n̪ u
вину	vʲ ɪ n̪ ʊ
винчи	vʲ i ɲ tɕ ɪ
винчи	vʲ ɪ ɲ tɕ ɪ
винцо	vʲ ɪ n̪ t̪s̪ o
виньетки	vʲ ɪ ɲ j e t̪ c ɪ
виню	vʲ ɪ ɲ u
вины	vʲ i n̪ ɨ
вины	vʲ ɪ n̪ ɨ
вира	vʲ i r ə
вирсавии	vʲ ɪ r s̪ a vʲ ɪ ɪ
виолончели	vʲ ɪ ə ɫ ɐ ɲ tɕ e ʎ ɪ
висевший	vʲ ɪ sʲ e f ʂ ɨ j
вирусом	vʲ i r ʊ s̪ ə m
висевшим	vʲ ɪ sʲ e f ʂ ɨ m
висел	vʲ ɪ sʲ e ɫ
висевшую	vʲ ɪ sʲ e f ʂ ʊ j ʊ
висела	vʲ ɪ sʲ e ɫ ə
виселиц	vʲ i sʲ ɪ ʎ ɪ t̪s̪
висели	vʲ i sʲ ɪ ʎ ɪ
виселицы	vʲ i sʲ ɪ ʎ ɪ t̪s̪ ɨ
виселицу	vʲ i sʲ ɪ ʎ ɪ t̪s̪ ʊ
висело	vʲ ɪ sʲ e ɫ ə
висеть	vʲ ɪ sʲ e tʲ
виси	vʲ ɪ sʲ i
висит	vʲ ɪ sʲ i t̪
виска	vʲ ɪ s̪ k a
вискам	vʲ ɪ s̪ k a m
виске	vʲ ɪ s̪ c e
висках	vʲ ɪ s̪ k a x
виску	vʲ i s̪ k ʊ
виску	vʲ ɪ s̪ k u
виску	vʲ ɪ s̪ k ʊ
виски	vʲ i s̪ c ɪ
виски	vʲ ɪ s̪ c i
виски	vʲ ɪ s̪ c ɪ
виснет	vʲ i sʲ ɲ ɪ t̪
висок	vʲ i s̪ ə k
висок	vʲ ɪ s̪ o k
виссон	vʲ s̪ː o n̪
виссон	vʲ ɪ s̪ː o n̪
вислоухий	vʲ i s̪ ɫ ə ʊ ç ɪ j
виссона	vʲ s̪ː o n̪ ə
виссона	vʲ ɪ s̪ː o n̪ ə
висячего	vʲ ɪ sʲ æ tɕ ɪ v ə
висячих	vʲ ɪ sʲ æ tɕ ɪ x
висячую	vʲ ɪ sʲ æ tɕ ʉ j ʊ
висячими	vʲ ɪ sʲ æ tɕ ɪ mʲ ɪ
висящим	vʲ ɪ sʲ æ ɕː ɪ m
висящему	vʲ ɪ sʲ æ ɕː ɪ m ʊ
висящие	vʲ ɪ sʲ æ ɕː ɪ j e
витийствовал	vʲ i j s̪ t̪ v ə v ə ɫ
витийствовал	vʲ i tʲ ɪ j s̪ t̪ v ə v ə ɫ
витийствовал	vʲ ɪ tʲ i j s̪ t̪ v ə v ə ɫ
вития	vʲ i tʲ ɪ j ə
висящих	vʲ ɪ sʲ æ ɕː ɪ x
витку	vʲ ɪ t̪ k u
витку	vʲ ɪ t̪ k ʊ
витражными	vʲ ɪ t̪ r ɐ ʐ n̪ ɨ mʲ ɪ
витрин	vʲ ɪ t̪ rʲ i n̪
витое	vʲ ɪ t̪ o j e
витринами	vʲ ɪ t̪ rʲ i n̪ ə mʲ ɪ
витрине	vʲ ɪ t̪ rʲ i ɲ e
витринах	vʲ ɪ t̪ rʲ i n̪ ə x
витрину	vʲ ɪ t̪ rʲ i n̪ ʊ
витрины	vʲ ɪ t̪ rʲ i n̪ ɨ
витта	vʲ i t̪ ə
витта	vʲ i t̪ː ə
витта	vʲ t̪ ə
витта	vʲ t̪ː ə
витта	vʲ ɪ t̪ a
витта	vʲ ɪ t̪ː ə
витязь	vʲ i tʲ ɪ sʲ
вихлял	vʲ i x ʎ a ɫ
вихлял	vʲ ɪ x ʎ a ɫ
вихор	vʲ ɪ x o r
вихрами	vʲ ɪ x r a mʲ ɪ
вихрастые	vʲ ɪ x r a s̪ t̪ ɨ j e
вихре	vʲ i x rʲ e
вихре	vʲ ɪ x rʲ e
вихрем	vʲ i x rʲ ɪ m
вихрем	vʲ ɪ x rʲ ɪ m
вихрь	vʲ i x rʲ
вихрь	vʲ ɪ x rʲ
вихри	vʲ ɪ x rʲ i
вихры	vʲ ɪ x r ɨ
вихря	vʲ i x rʲ ə
вихря	vʲ ɪ x rʲ a
вицедиректора	vʲ ɪ t̪s̪ ɛ dʲ ɪ rʲ e k t̪ ə r ə
вицедиректора	vʲ ɪ t̪s̪ ɛ dʲ ɪ rʲ ɪ k t̪ ɐ r a
вицедиректора	vʲ ɪ t̪s̪ ɨ dʲ ɪ rʲ e k t̪ ə r ə
вицмундир	vʲ i t̪s̪ m ʊ ɲ dʲ i r
вишен	vʲ i ʂ ɨ n̪
вицмундира	vʲ i t̪s̪ m ʊ ɲ dʲ i r ə
вишневого	vʲ i ʂ ɲ ɪ v o v ə
вишни	vʲ i ʂ ɲ ɪ
вишь	vʲ i ʂ
вишь	vʲ ɪ ʂ
вишнёвые	vʲ ɪ ʂ ɲ ɵ v ɨ j e
вкладывала	f k ɫ a d̪ ɨ v ə ɫ ə
вклепалась	f c ʎ ɪ p a ɫ ə sʲ
вкладываться	f k ɫ a d̪ ɨ v ə t̪ s̪ ə
вкалывать	f k a ɫ ɨ v ə tʲ
включала	f c ʎ ʉ tɕ a ɫ ə
включатель	f c ʎ ʉ tɕ æ tʲ ɪ ʎ
включающего	f c ʎ ʉ tɕ æ j ʉ ɕː ɪ v ə
включительно	f c ʎ ʉ tɕ i tʲ ɪ ʎ n̪ ə
включая	f c ʎ ʉ tɕ æ j ə
включенный	f c ʎ ʉ tɕ ɪ n̪ː ɨ j
вконец	f k ɐ ɲ e t̪s̪
вколотить	f k ə ɫ ɐ tʲ i tʲ
включёнными	f c ʎ ʉ tɕ ɵ n̪ː ɨ mʲ ɪ
вкопанная	f k o p ə n̪ː ə j ə
вкопанный	f k o p ə n̪ː ɨ j
вкопанной	f k o p ə n̪ː ə j
вкрадчивыми	f k r a tɕː ɪ v ɨ mʲ ɪ
вкрадывается	f k r a d̪ ɨ v ə j ɪ t̪ s̪ ə
вкось	f k o sʲ
вкралось	f k r a ɫ ə sʲ
вкралась	f k r a ɫ ə sʲ
вкривь	f c rʲ i fʲ
вкруг	f k r ʊ k
вкус	f k u s̪
вкус	f k ʊ s̪
вкуса	f k u s̪ ə
вкусам	f k u s̪ ə m
вкусила	f k ʊ sʲ i ɫ ə
вкусит	f k ʊ sʲ i t̪
вкусе	f k u sʲ e
вкусе	f k ʊ sʲ e
вкусить	f k ʊ sʲ i tʲ
вкусно	f k u s̪ n̪ ə
вкуснейшие	f k ʊ sʲ ɲ e j ʂ ɨ j e
вкуснейшие	f k ʊ sʲ ɲ ɪ j ʂ ɨ j e
вкуснее	f k ʊ sʲ ɲ e j e
вкусный	f k u s̪ n̪ ɨ j
вкусный	f k ʊ s̪ n̪ ɨ j
вкусное	f k u s̪ n̪ ə j ə
вкусное	f k ʊ s̪ n̪ ə j ə
вкусным	f k u s̪ n̪ ɨ m
вкусным	f k ʊ s̪ n̪ ɨ m
вкусные	f k ʊ s̪ n̪ ɨ j e
